CustomerID,SignupDate,ContractType,PaymentMethod,Age,MonthlyCharges,TotalCharges,SupportTickets,EngagementScore,LeftCompany,TenureMonths,ContractType_Num,PaymentMethod_Num,ChurnRiskScore_%
CUST-00001,2023-01-01 00:00:00,Month-to-month,Bank Transfer,69,30.09,1293.87,0,4,0,43.0,0,0,3.0
CUST-00002,2023-01-01 01:00:00,Two year,Credit Card,21,110.48,4750.64,0,6,1,43.0,2,1,64.0
CUST-00003,2023-01-01 02:00:00,One year,Unknown,51,57.99,2493.57,3,10,0,43.0,1,4,5.0
CUST-00004,2023-01-01 03:00:00,Month-to-month,Credit Card,22,58.03,2495.29,0,6,1,43.0,0,1,75.0
CUST-00005,2023-01-01 04:00:00,Month-to-month,Credit Card,50,50.52,2172.36,1,7,0,43.0,0,1,7.0
CUST-00006,2023-01-01 05:00:00,Month-to-month,Bank Transfer,74,58.52,2516.36,3,9,1,43.0,0,0,76.0
CUST-00007,2023-01-01 06:00:00,Month-to-month,Mailed Check,22,49.21,2116.03,2,6,0,43.0,0,3,6.0
CUST-00008,2023-01-01 07:00:00,Two year,Credit Card,55,111.53,4795.79,0,10,0,43.0,2,1,9.0
CUST-00009,2023-01-01 08:00:00,One year,Bank Transfer,51,110.91,4769.13,1,1,1,43.0,1,0,30.0
CUST-00010,2023-01-01 09:00:00,One year,Electronic Check,75,39.19,1685.1699999999998,0,8,0,43.0,1,2,10.0
CUST-00011,2023-01-01 10:00:00,Month-to-month,Unknown,43,42.85,1842.55,3,2,0,43.0,0,4,5.0
CUST-00012,2023-01-01 11:00:00,Two year,Electronic Check,18,107.58,4625.94,2,3,0,43.0,2,2,12.0
CUST-00013,2023-01-01 12:00:00,Two year,Credit Card,21,65.9,2833.7000000000003,3,5,0,43.0,2,1,37.0
CUST-00014,2023-01-01 13:00:00,Month-to-month,Bank Transfer,56,45.23,1944.89,2,6,1,43.0,0,0,71.0
CUST-00015,2023-01-01 14:00:00,Month-to-month,Bank Transfer,71,75.96,3266.28,3,7,0,43.0,0,0,13.0
CUST-00016,2023-01-01 15:00:00,Month-to-month,Electronic Check,43,67.49,2902.07,1,4,1,43.0,0,2,69.0
CUST-00017,2023-01-01 16:00:00,Month-to-month,Bank Transfer,50,49.72,2137.96,0,3,0,43.0,0,0,18.0
CUST-00018,2023-01-01 17:00:00,Month-to-month,Bank Transfer,50,94.86,4078.98,2,9,1,43.0,0,0,15.0
CUST-00019,2023-01-01 18:00:00,Month-to-month,Credit Card,25,86.81,3732.83,3,4,0,43.0,0,1,5.0
CUST-00020,2023-01-01 19:00:00,Month-to-month,Bank Transfer,37,38.96,1675.28,3,9,0,43.0,0,0,43.0
CUST-00021,2023-01-01 20:00:00,One year,Mailed Check,33,113.28,4871.04,1,9,1,43.0,1,3,65.0
CUST-00022,2023-01-01 21:00:00,Month-to-month,Electronic Check,38,80.26,3451.1800000000003,1,3,0,43.0,0,2,8.0
CUST-00023,2023-01-01 22:00:00,Month-to-month,Bank Transfer,62,52.51,2257.93,1,3,1,43.0,0,0,69.0
CUST-00024,2023-01-01 23:00:00,Month-to-month,Electronic Check,72,48.56,2088.08,0,8,0,43.0,0,2,22.0
CUST-00025,2023-01-02 00:00:00,Month-to-month,Electronic Check,73,42.23,1815.89,2,1,0,43.0,0,2,4.0
CUST-00026,2023-01-02 01:00:00,One year,Electronic Check,43,68.21,2933.03,2,6,0,43.0,1,2,11.0
CUST-00027,2023-01-02 02:00:00,Month-to-month,Bank Transfer,40,42.19,1814.17,3,6,0,43.0,0,0,24.0
CUST-00028,2023-01-02 03:00:00,Month-to-month,Bank Transfer,35,67.42,2899.06,1,9,0,43.0,0,0,24.0
CUST-00029,2023-01-02 04:00:00,Month-to-month,Electronic Check,79,43.38,1865.34,1,2,0,43.0,0,2,8.0
CUST-00030,2023-01-02 05:00:00,Month-to-month,Mailed Check,48,89.11,3831.73,0,8,0,43.0,0,3,26.0
