CustomerID,MonthlyCharges,TotalCharges,SupportTickets,EngagementScore,LeftCompany
CUST-00001,30.09,0.0,0,4,0
CUST-00002,110.48,0.0,0,6,1
CUST-00003,57.99,0.0,3,10,0
CUST-00004,58.03,0.0,0,6,1
CUST-00005,50.52,0.0,1,7,0
CUST-00006,58.52,0.0,3,9,1
CUST-00007,49.21,0.0,2,6,0
CUST-00008,111.53,0.0,0,10,0
CUST-00009,110.91,0.0,1,1,1
CUST-00010,39.19,0.0,0,8,0
CUST-00011,42.85,0.0,3,2,0
CUST-00012,107.58,0.0,2,3,0
CUST-00013,65.9,0.0,3,5,0
CUST-00014,45.23,0.0,2,6,1
CUST-00015,75.96,0.0,3,7,0
CUST-00016,67.49,0.0,1,4,1
CUST-00017,49.72,0.0,0,3,0
CUST-00018,94.86,0.0,2,9,1
CUST-00019,86.81,0.0,3,4,0
CUST-00020,38.96,0.0,3,9,0
CUST-00021,113.28,0.0,1,9,1
CUST-00022,80.26,0.0,1,3,0
CUST-00023,52.51,0.0,1,3,1
CUST-00024,48.56,0.0,0,8,0
CUST-00025,42.23,0.0,2,1,0
CUST-00026,68.21,0.0,2,6,0
CUST-00027,42.19,0.0,3,6,0
CUST-00028,67.42,0.0,1,9,0
CUST-00029,43.38,0.0,1,2,0
CUST-00030,89.11,0.0,0,8,0
CUST-00031,100.67,0.0,3,7,0
CUST-00032,79.45,0.0,0,2,0
CUST-00033,91.2,0.0,2,1,0
CUST-00034,114.45,0.0,1,4,0
CUST-00035,87.45,0.0,1,2,0
CUST-00036,62.77,0.0,0,3,1
CUST-00037,70.45,0.0,0,2,0
CUST-00038,107.45,0.0,1,9,0
CUST-00039,41.76,0.0,1,4,0
CUST-00040,59.31,0.0,0,1,0
CUST-00041,81.95,0.0,0,8,1
CUST-00042,90.87,0.0,3,4,0
CUST-00043,98.71,0.0,0,10,0
CUST-00044,58.63,0.0,0,8,0
CUST-00045,43.12,0.0,3,8,0
CUST-00046,115.94,0.0,1,9,0
CUST-00047,36.87,0.0,0,10,0
CUST-00048,38.61,0.0,2,7,0
CUST-00049,74.54,0.0,3,4,0
CUST-00050,103.73,0.0,2,2,0
CUST-00051,99.7,0.0,1,6,0
CUST-00052,114.39,0.0,1,4,0
CUST-00053,42.74,0.0,2,6,0
CUST-00054,63.81,0.0,1,8,0
CUST-00055,55.39,0.0,1,3,1
CUST-00056,107.48,0.0,0,1,0
