CustomerID,SignupDate,ContractType,PaymentMethod,Age
CUST-00001,2023-01-01 00:00:00,Month-to-month,Bank Transfer,69
CUST-00002,2023-01-01 01:00:00,Two year,Credit Card,21
CUST-00003,2023-01-01 02:00:00,One year,,51
CUST-00004,2023-01-01 03:00:00,Month-to-month,Credit Card,22
CUST-00005,2023-01-01 04:00:00,Month-to-month,Credit Card,50
CUST-00006,2023-01-01 05:00:00,Month-to-month,Bank Transfer,74
CUST-00007,2023-01-01 06:00:00,Month-to-month,Mailed Check,22
CUST-00008,2023-01-01 07:00:00,Two year,Credit Card,55
CUST-00009,2023-01-01 08:00:00,One year,Bank Transfer,51
CUST-00010,2023-01-01 09:00:00,One year,Electronic Check,75
CUST-00011,2023-01-01 10:00:00,Month-to-month,,43
CUST-00012,2023-01-01 11:00:00,Two year,Electronic Check,18
CUST-00013,2023-01-01 12:00:00,Two year,Credit Card,21
CUST-00014,2023-01-01 13:00:00,Month-to-month,Bank Transfer,56
CUST-00015,2023-01-01 14:00:00,Month-to-month,Bank Transfer,71
CUST-00016,2023-01-01 15:00:00,Month-to-month,Electronic Check,43
CUST-00017,2023-01-01 16:00:00,Month-to-month,Bank Transfer,50
CUST-00018,2023-01-01 17:00:00,Month-to-month,Bank Transfer,50
CUST-00019,2023-01-01 18:00:00,Month-to-month,Credit Card,25
CUST-00020,2023-01-01 19:00:00,Month-to-month,Bank Transfer,37
CUST-00021,2023-01-01 20:00:00,One year,Mailed Check,33
CUST-00022,2023-01-01 21:00:00,Month-to-month,Electronic Check,38
CUST-00023,2023-01-01 22:00:00,Month-to-month,Bank Transfer,62
CUST-00024,2023-01-01 23:00:00,Month-to-month,Electronic Check,72
CUST-00025,2023-01-02 00:00:00,Month-to-month,Electronic Check,73
CUST-00026,2023-01-02 01:00:00,One year,Electronic Check,43
CUST-00027,2023-01-02 02:00:00,Month-to-month,Bank Transfer,40
CUST-00028,2023-01-02 03:00:00,Month-to-month,Bank Transfer,35
CUST-00029,2023-01-02 04:00:00,Month-to-month,Electronic Check,79
CUST-00030,2023-01-02 05:00:00,Month-to-month,Mailed Check,48
CUST-00031,2023-01-02 06:00:00,One year,Electronic Check,69
CUST-00032,2023-01-02 07:00:00,Month-to-month,Mailed Check,59
CUST-00033,2023-01-02 08:00:00,Month-to-month,Electronic Check,29
CUST-00034,2023-01-02 09:00:00,Two year,Credit Card,18
CUST-00035,2023-01-02 10:00:00,Two year,Electronic Check,59
CUST-00036,2023-01-02 11:00:00,Two year,Electronic Check,26
CUST-00037,2023-01-02 12:00:00,Month-to-month,Bank Transfer,20
CUST-00038,2023-01-02 13:00:00,Month-to-month,Mailed Check,77
CUST-00039,2023-01-02 14:00:00,One year,Credit Card,68
CUST-00040,2023-01-02 15:00:00,Month-to-month,,43
CUST-00041,2023-01-02 16:00:00,Month-to-month,Credit Card,26
CUST-00042,2023-01-02 17:00:00,Month-to-month,Electronic Check,59
CUST-00043,2023-01-02 18:00:00,Month-to-month,,68
CUST-00044,2023-01-02 19:00:00,Two year,Bank Transfer,33
CUST-00045,2023-01-02 20:00:00,Month-to-month,Mailed Check,41
CUST-00046,2023-01-02 21:00:00,One year,Bank Transfer,67
CUST-00047,2023-01-02 22:00:00,Month-to-month,Mailed Check,31
CUST-00048,2023-01-02 23:00:00,Month-to-month,Mailed Check,78
CUST-00049,2023-01-03 00:00:00,Month-to-month,Credit Card,20
CUST-00050,2023-01-03 01:00:00,Month-to-month,Mailed Check,51
CUST-00051,2023-01-03 02:00:00,Two year,Credit Card,50
